audio_file	sentence
caf_08106_00446243080	Aigües de Barcelona és una empresa que té moltes polèmiques arreu del món
caf_03655_00327442931	Karma Informàtica abans fabricava disquets per a ordinador
caf_04247_01706552852	A Cànoves i Samalús encenen una carbonera cada dos anys
caf_06942_01574157410	On es pot escoltar la música de Quimi Portet
caf_06942_00421451023	Jodie Foster va fer de Clarice Starling a El silenci dels anyells
caf_05450_02121467863	Vilanova del Vallès és ple de fàbriques
caf_09204_01916726933	Twiggy era una model molt prima de l'època dels meus pares
caf_03655_01080477283	El Biel va créixer i ha seguit actuant
caf_05739_01465740047	Crec que això cau al Tarragonès però consulta-ho en un mapa
caf_07803_01191325041	Sallent és conegut per les seves mines de sal
caf_02452_00304881759	Parlant d'ufologia i d'antics astronautes Andreas Kaiser té molt a dir
caf_08001_00582989232	L'estil narratiu de l'escriptor Javier Araguz està molt influït pel manga el món del còmic i els videojocs
caf_03655_01574440908	La versió catalana de menjar ràpid es diu Pans and Company
caf_04247_00936953969	Les càmeres de Panasonic són força dolentes
caf_03944_01137820552	Vam parar a dinar en una masia de Santa Coloma de Farners
caf_06942_00330389705	La mirada penetrant de Mercedes Sampietro és esfereïdora
caf_06942_00300997909	A molts fans de Fernando Alonso no els agrada Lewis Hamilton des de la temporada en què van compartir escuderia
caf_08001_00072126597	A Fornells de la Selva hi viuen poc més de dos mil habitants
caf_05739_01370957716	Vivia al costat d'una perruqueria Llongueras
caf_08001_01092828879	Quan l'Ariadna va anar a Colòmbia no ens en va dur cap record
caf_06008_01246225040	Jamaica és la terra d'alguns dels millors atletes del món
caf_09598_00241730468	Patrícia Gabancho és coneguda perquè és tertuliana i surt molt per la televisió
caf_01591_00366002668	Per viatjar pel sud-est asiàtic surt molt a compte volar amb Vueling
caf_03944_01018994095	Fernando Alonso té el coll molt gruixut perquè està molt fort
caf_07245_01614835731	Frederic Garcia pesa seixanta-vuit quilos
caf_06042_01657054666	Els avions d’Austràlia Línies de Vol són molt nous
caf_09796_00083839531	Com que arriba el novembre comprarem panellets castanyes i moniatos
caf_05739_00157378045	Encara que no ho sembli Canberra és la capital d'Austràlia
caf_09204_01288377874	Recordo Radio Futura com la música que vaig escoltar la meva primera nit boja a Barcelona
caf_06311_00573269814	Vaig passar més de tretze hores a l'aeroport esperant el vol de Vueling
caf_08106_01649939154	Va haver-hi una avaria en una fàbrica a l'Anoia
caf_09598_00942666102	És un inútil un zero a l'esquerra
caf_02452_00617765989	Del grup Magic només en conec John Key
caf_02452_01700751442	M'agrada el barret negre que porta Joan Clos als seus concerts
caf_07803_01165789034	Tinc una assegurança amb AXA que m'inclou un rentat de boca cada any
caf_05739_00633226593	Al jovent d'avui en dia li agrada l'estil d'Ismael Miquel
caf_06008_00196415574	En Carles volia una moto pel seu aniversari però encara no tenia carnet
caf_01591_01668034896	Un entrepà d'anxoves de l'Escala és el més bo que hi ha
caf_06042_01291145103	Quan era petit a l'estiu fèiem escapades a Sant Feliu de Guíxols per fer un dia de platja
caf_08001_00210785934	L'expilot Jordi Tarrés i Sánchez ha sigut un dels millors en la modalitat del trial per assolir set campionats del món i dos subcampionats
caf_09598_00448136036	Dolores Castelltort atleta dels anys trenta va destacar en el salt de llargada
caf_08001_00484225557	A la botiga Dones pots comprar roba de dona a preus econòmics
caf_06942_00904392775	Jana Trias es va fer popular amb el seu paper a la sèrie de televisió de llarga durada Setè cel
caf_08106_00215331582	Tenen una finca a Roquetes en venda
caf_03655_01569381187	M'agrada molt la música de Colòmbia
caf_06311_00065081011	A Santa Perpètua de Mogoda hi ha molta indústria
caf_04247_01055090658	Ignasi M Folch i Torres era un futurista
caf_06942_02085863859	Shakira va posar de moda la música llatina
caf_09796_00286735125	FADE és el Festival d'Art Digital i Electrònica de la Cellera de Ter
caf_09598_01193553841	Alstom era un gegant francès que va ser venut a una empresa nord-americana i això no va
caf_07803_01403660161	Saps si Esperança Esteve Ortega encara milita al PSC
caf_09796_01044699478	Creus que Joan Canongia Gerona voldria presentar-se com a alcalde per Vacarisses
caf_04247_02058036813	Em va saber molt greu que tanquessin el McDonald’s de Barcelona
caf_08106_00252101742	El nou-cents dos quatre-cents zero dotze és un telèfon de pagament
caf_05147_01133662178	Hi ha hagut una nova polèmica per l'última entrevista de Jordi Évole
caf_06311_01781918586	Quin és el telèfon de Fregadís
caf_07245_00699367664	Mike Jagger té la boca molt grossa
caf_09598_00504850934	Us inspira confiança el nom de Grup Unexporc
caf_07245_01914634949	Paramore és un grup de rock alternatiu format a Franklin Tennessee
caf_03944_00787195570	De petit anàvem tot sovint a les platges del Garraf
caf_08001_00015555093	Yozawa ha experimentat una explosió de població el 2015 a causa de Pokémon
caf_05147_01396618216	Vam anar a prendre un cafè a Alella i tot va acabar solucionat
caf_06042_01817954188	Levi's es va fundar fa més de cinquanta anys
caf_01591_01691630500	Quina és la nova pel·lícula d'Icíar Bollaín
caf_06042_00817545445	L'hotel Ritz fa pinta de ser molt car
caf_06311_01255518345	Badalona s'ha estès molt en els últims anys
caf_06942_01534586699	Hauria de saber qui es Lluís Tomàs
caf_05739_00994888680	Vull anar de vacances al Carib
caf_07245_02135448482	Només escolto en Josep Carreras quan arriba el Nadal
caf_07803_00233012885	Mai havia sentit a parlar de l'articulista i escriptor José Carol Archs
caf_09204_01378117931	David Copperfield és un mag amb habilitats extraordinàries
caf_03655_00097894168	El parc nacional suís és un dels paratges més meravellosos
caf_01591_00213457901	Les pel·lícules de Woody Allen sempre són commovedores
caf_05450_01191540572	A les botigues de Caprabo sona una música molt alegre
caf_06311_00678629299	El disseny de la nova terminal de l'aeroport de Madrid Barajas és espectacular
caf_07803_00629993972	Qatar Aerolínies patrocina el Barça i això no agrada a molts socis
caf_06042_01258876071	Mariposas són la versió espanyola de Ja t’ho diré
caf_08001_00614061014	La Corporació Alimentària Guissona pertany al Grup Alimentari Guissona
caf_05147_00486451764	El desembre congelat confús es retira
caf_09901_01308261029	Creieu que a Anglès es parla més anglès que francès
caf_07245_00662583609	No sabia que Pierre Coffin és el codirector de la pel·lícula dels Minions
caf_08106_01570344117	El Nil menja pernil
caf_07803_00651563478	Antoni Ugalde Garcia gran jugador català d'handbol va guanyar una medalla de bronze als Jocs Olímpics de Sidney 2000
caf_01591_00841973559	Àlex Crivillé encara fa curses
caf_05450_01475194334	Quin és l'últim disc de la Beth
caf_09901_00777416101	A Vandellòs hi tenen una central nuclear i forma part del mateix municipi que l'Hospitalet de l'Infant
caf_07245_00822982443	Vladimir Putin viu al Kremlin de Moscou
caf_03944_01029975772	Ja he rebut la targeta de Sephora
caf_04247_02137420393	Juneda no és un poble gaire gran
caf_06008_01080949428	Els bolígrafs de Bic es poden trobar a totes les oficines
caf_04247_00780653439	Cobrem l'u de cada mes
caf_09204_00007215696	Andy Murray és un campió escocès de tennis
caf_09598_00239807415	La meva xicota era japonesa la vaig conèixer a Fukui
caf_01591_01713833072	Les platges del Baix Penedès són a la Costa Daurada
caf_09901_01201227131	El supermercat de sota casa és de Coaliment València
caf_09598_00206462120	Montserrat Caballé és una cantant d'òpera vetusta reconeguda internacionalment
caf_09204_01561125102	Codaline és una banda considerada de culte
caf_01591_00869976068	Vaig tenir una gran alegria en saber que l'Àlex Susanna em convidava a unir-me al seu projecte
caf_01591_02138258119	En aquell punt estava situat exactament a les antípodes de Hobart
caf_02452_01455921737	La seva filla se'n va anar a viure a Santa Eulàlia de Ronçana
caf_09204_01479746832	Victor Valdés es va lesionar i des de llavors la seva carrera ja no és el mateix
caf_05147_01330164237	El Barça va pagar massa diners pel Neymar tot i que sigui un gran jugador
caf_03655_00606718845	Pere Subirats ven marroquineria de luxe
caf_06042_00281017570	La població de Sils gairebé s'ha doblat en els últims quinze anys
caf_08001_00666651536	Gràcies a Google estic aprenent noms d'empreses que no havia sentit mai com Basell Poliolefines Ibèrica
caf_01591_01196883240	L'escola comença al setembre
caf_01591_01838218876	Preparo els biberons del nen amb aigua Fonter
caf_05739_01371950503	El RACC ven assegurances per tot el món
caf_07803_01126371192	Desconec si és cert que Inmaculada Riera i Reñé va renunciar a l'escó de diputada
caf_08106_01039321375	Hi ha productes Deliplus altament recomanables
caf_07245_00662103631	Qui va ser la núvia d'Amèrica durant els 90 torna a la gran pantalla amb Agost adaptació de l'obra de Tracy Letts
caf_06042_00169447331	Els habitants de Santa Maria de Palautordera viuen amb la por al cos
caf_09598_00976012459	En aquella pel·lícula hi sortia Jordi Mollà
caf_07245_01667884794	Rosa Rovira va morir en estranyes circumstàncies
caf_09796_02116467250	Vaig volar l'any passat a Seül amb els d'Aribau Vols i va estar molt bé
caf_06311_01121850625	Per dormir em poso unes gotes de Chanel número cinc
caf_05147_01492755646	En quin idioma es publiquen els llibres Harper Collins
caf_08001_00986285728	Vaig coincidir en un vol de Barcelona a Vigo amb l'Alexandra Pereira
caf_05147_00094068400	El primer cop que vaig sentir el nom de Wolverhampton va ser associat a un equip de futbol
caf_06311_02050722065	El 2010 em van venir a veure la Mireia i el Roger
caf_08001_01974848428	Quin any es va fundar l'empresa Frecarn
caf_09901_00120345977	Sabem poc de Bratislava és una llàstima
caf_09204_01037859967	Christopher Nolan és el director de l'exitosa pel·lícula Origen
caf_03944_00193678468	Les temperatures de Groenlàndia són molt baixes
caf_06311_00594995777	Jordi Cruz és un xef molt televisiu
caf_02452_00319977308	SNSD és un grup sud-coreà de música pop compost per un grup femení de vuit integrants
caf_05147_00140815278	L'Espanyol és un equip de Cornellà
caf_09901_01907876673	Els d'Alfil Logístics tenen una bona pàgina web però sempre és millor trucar-los
caf_06008_01081985939	Adidas ja no patrocina l'equip de bàsquet de Manresa
caf_06942_00225470346	Que sabeu on para Lolita Bosch
caf_03944_00061930791	Puc veure tres bilions d'estrelles des de la meva finestra
caf_07803_01434291867	Em moro de ganes que treguin la nova Nintendo ena ics
caf_03944_01260629664	Jaume Alguersuari va fer algunes curses de Fórmula 1
caf_08106_01514087133	El pernil que es fa a York és popular arreu del món
caf_06942_00736030078	Led Zeppelin té fans de totes les edats
caf_07245_01035538790	Manel Duran es va fer un implant de cabells perquè era calb
caf_05450_00484979159	A l'estiu tots els nens de Parets del Vallès van a la piscina municipal
caf_03655_02102223433	Hi ha cap cinema a Vilallonga del Camp
caf_09598_00068426776	Antoni Massó poeta reusenc va ser un home de profundes arrels catòliques i catalanistes
caf_05450_01500723841	On puc trobar un caixer per les Borges del Camp
caf_03655_00116020826	El telèfon del Martí és el noranta-tres quatre-cents seixanta-nou zero zero
caf_07245_00804539772	Gemma Mengual ha guanyat dues medalles olímpiques
caf_03655_01621361195	Quan hi ha cursa al circuit de Catalunya Barcelona s'omple de turistes àrabs alemanys i holandesos
caf_06942_01972945914	Denzel Washington va representar papers molt importants durant la seva carrera artística
caf_06042_00956751179	La selecció espanyola de futbol juga a Akitakata
caf_09204_01143462224	Vols venir demà amb mi al concert de Lady Gaga
caf_06311_01942442782	El vol cap a Colòmbia feia escala a Amsterdam
caf_09796_01329349659	Van anar a passar el cap de setmana a Bellver de Cerdanya però no es van acostar a les pistes d'esquí
caf_08106_01506251776	La distribució de Pansfood és molt eficient
caf_03944_01785968203	He enviat el paquet per Missatgeria Pijoan t'hauria d'arribar en els propers dies
caf_06311_00933186155	Per què la roba d'hac i ema és tan barata
caf_06042_00416819749	Tothom ha pintat amb ceres Jovi
caf_09204_02138525858	Freddie Mercury és una llegenda de la música
caf_08001_01148176213	Per Bescanó hi passen tres rius
caf_06942_00880406034	Els elàstics de Mango em van grans
caf_08106_02127289460	L'aeroport principal d'operacions de Delta Aerolínies és a Atlanta
caf_06042_01269189573	Julià de Jòdar es presentà amb la CUP a les eleccions al Parlament del setembre del 2015
caf_06042_00875582406	El quinze d'agost se celebra la Festa Major de Gràcia
caf_06042_00191466506	Un tarragoní viu a Pyongyang i treballa pel govern militar de Corea del Nord
caf_08001_02048441587	El Dijous Gras es menja botifarra d'ou i coca de llardons
caf_07803_02009264407	El nou-cents nou-cents cent vint és un número gratuït d'atenció al públic
caf_04247_02137789937	La meva neboda va néixer al 2004
caf_01591_01858790864	Walt Disney té un parc d'atraccions a Los Angeles
caf_06311_01542577642	Luis Suárez és un davanter que no perd ni una oportunitat
caf_05147_01616813517	Josep Carreras va néixer a Sants i és un dels homes més elegant del país
caf_09598_01615541311	Unipost fa la competència a Correus
caf_03655_00788194468	Sovint faig espaguetis amb pastes Santmartí o també de qualsevol altra marca
caf_07245_00045457042	Bob Marley es va fer famós no només per la seva música sinó també per una manera d'entendre la vida
caf_06008_00663072651	L'autor d’Els Pastorets és Josep Maria Folch i Torres
caf_07245_00134879901	Jamie Dornan fa un molt bon paper a la sèrie The Fall
caf_05450_00934067625	El Barcelonès és la comarca més poblada de Catalunya
caf_06311_01858108992	Si d’una cosa en puc estar segur és que a Formatges Vallès no construeixen cases ni dissenyen tubs
caf_08001_01638728946	Joan Tardà no diu que algú ho havia de dir
caf_05147_00393445461	Quan tenia setze anys vaig fer un campus d'estiu amb Úrsula Corberó
caf_06311_02055840437	Ramon Bosc fou un capellà de la Catalunya medieval
caf_04247_01577961711	Quan va deixar l'institut se'n va anar directament a treballar a la Cristalleria de l'Arboç
caf_06008_01961969412	Durant molts anys vaig competir professionalment amb Diversey
caf_08106_00836729595	Alejandro Amenábar és un reconegut director de cinema espanyol
caf_09901_02100380789	M'agraden les actuacions de l'actriu Clàudia Bassols a la
caf_09901_01219325473	Tinc un article publicat en una revista científica del grup Ruta
caf_09598_01065499779	Espanya ha quedat vintena a Eurovisió millor que altres anys
caf_06008_01345225785	Eva González presenta un programa de cuina
caf_06311_01145275963	A Sant Cebrià de Vallalta s´hi fan unes maduixes o si voleu maduixots boníssimes
caf_03655_00023151549	L'any 1883 Josep Franquesa i Gomis fou mestre en gai saber
caf_06042_00478860177	Si m'hagués fet mal treballant hauria d'haver anat a la Mútua General
caf_09796_00221104325	El nostre principal inversor és Constructora Pirenaica
caf_09796_00012705123	Jo de tu en parlaria amb Jesús Hernàndez Martínez que d'això en sap un niu
caf_05450_00105354222	Anem a Santa Cristina d'Aro a casa dels pares de la Marta
caf_09598_00977704451	Hi ha hagut una fusió entre Indústries Renau i companyia
caf_04247_00180189558	Tenien planejat anar a visitar els seus parents a Adelaida
caf_07803_01904043000	L'any 2005 vaig començar a treballar al banc
caf_09796_00634786594	Sílvia Abril va participar a Eurovisió el 2008 amb el Chikilicuatre
caf_04247_01403055954	Va anar al Vaticà a veure la Capella Sixtina
caf_09204_01824470317	David Bisbal fa un xou de televisió als Estats Units
caf_09204_01432442106	Maria Fradera és la dona d’Elena Miquel i sortia a Ally McBeal
caf_05739_01049652964	La revista Descobrir Catalunya sempre publica articles interessants
caf_09901_01449512346	La influència àrab es nota molt en els edificis antics de Còrdova
caf_08001_01500334273	David Davis Cámara va destacar com a jugador d'handbol i actualment exerceix d'entrenador
caf_05147_00898835939	Faran un concert al parc de l'Ós de Calella
caf_03655_01967316548	El cantant Daniel Carbonell és més conegut pel nom de Macaco
caf_09796_00992624225	M'han regalat un perfum Armand Basi
caf_03655_00326242437	El riu Fluvià passa pel municipi de la Vall d'en Bas
caf_03655_00445912000	Estic prenent antihistamínics dels laboratoris Almirall
caf_03944_01828379267	Podries passar pel Caprabo i comprar quatre gelats
caf_03655_00754208311	Feia basarda veure saltar la gimnasta Esther Moya
caf_06311_00382179189	A la benzinera Meroil hi ha una petita cafeteria
caf_07803_01670834887	A Hong Kong hi ha el cim Victòria
caf_02452_00670186108	Ellie Goulding canta aquella cançó que sortia a la pel·lícula Cinquanta ombres d’en Grey
caf_03655_00290425632	Sempre m'ha cridat l'atenció la imatge de les ampolles d'Anís del Mono és una burla del senyor Darwin
caf_06008_00017166531	El tren passa cada dia a dos quarts i cinc de vuit
caf_04247_01912981904	La meva xicota va viatjar a Costa Rica després de graduar-se
caf_07803_01203208666	El company de la Laura és de Sant Celoni
caf_07803_02014645395	Els veïns d'Oklahoma no volen més manifestacions
caf_04247_00421877069	En aquesta llista amb tants escriptors hi surt Jordi Cabré però han oblidat Jaume Cabré
caf_09796_01468816994	Les urbanitzacions de Torrelles de Foix s'omplen de barcelonins els caps de setmana
caf_06942_01258680792	Guillem Gisbert és el de la barba dels Manel
caf_04247_00146930801	Alexandre Cirici i Pellicer va ser un notable crític d'art escriptor pedagog català i polític de reconeixement internacional
caf_07803_00710793072	La cosina de la meva tieta va anar a menjar figues a Surinam
caf_06942_00410542654	Sofía Vergara té sentit de l'humor i és més intel·ligent del que pensa la gent
caf_05450_01206610980	Anna Barrachina és molt coneguda pel seu paper a la coneguda sèrie Ventdelplà
caf_07245_02116026047	Els gens palestins i neerlandesos han fet que Gina Adams sigui una de les models més famoses
caf_07803_01198415740	Manel Estiarte és un nedador professional retirat amb molt èxits a l'esquena
caf_05739_01222843163	Cristian Malmagro destaca per la seva tècnica en l'aspecte ofensiu del joc
caf_07245_00290905397	Quants anys té l’Emma Vilarasau
caf_01591_01578004294	No hi ha llits disponibles a l'Hospital de Sant Joan de Reus
caf_09796_00952937133	A Ciutat del Cap hi fa un clima mediterrani
caf_07803_00820028089	Marc Coma ha guanyat el ral·li Dakar cinc vegades
caf_09204_01087768389	Ben Stiller sempre fa papers còmics
caf_09598_01861679148	Quasi tots els meus amics vénen de la comarca del Ripollès
caf_06008_00826578689	Es va posar un polo de marca i anava traient pit pel passeig marítim
caf_01591_01117243207	Reyes Estévez era un plusmarquista i maratonià que va guanyar una medalla olímpica
caf_09796_02051768214	Al museu de trens de Vilanova i la Geltrú no hi he anat mai
caf_06942_02116085499	Una delicada interpretació de la Rooney Mara a Carol l'adaptació cinematogràfica de la novel·la de Patricia Highsmith
caf_05739_01616222826	L'aeroport de Mumbai està envoltat de barris molt humils
caf_06311_00905290773	La meva cosina s'ha comprat una casa a Alcoletge
caf_01591_01161359852	Joan Barbany va ser un jugador de handbol en les modalitats d'onze i de set
caf_06311_00758488755	Als supermercats Aldi s'hi troba de tot
caf_07245_00768827625	Mesut Ozil ha participat en l'Eurocopa 2016
caf_09796_00028135061	No m'agraden gens les pel·lícules de Luis Buñuel
caf_09901_00479008418	L'element més popular de la Casa Batlló és el drac situat al terrat
caf_05739_00634096796	Christian Dior és una de les marques d'alta costura més conegudes
caf_09598_00912723799	Sant Joan és una festa popular que se celebra el vint-i-tres de juny
caf_03944_01589409707	Si viatges a Austràlia Easyjet pot ser l'opció més econòmica
caf_02452_01259795228	La llegenda negra diu que Marilyn Manson es va fer treure dues costelles
caf_07803_00136335906	Em van preguntar si el nom de l'Ametlla del Vallés té a veure amb els ametllers
caf_08001_00068545868	Marc Gené corre a la velocitat de la llum amb el seu Fórmula 1
caf_03944_01882978809	Vaig tenir una xicota de Mont-roig del Camp però la relació no va funcionar mai bé
caf_08106_01307666156	Carles Campuzano té una llarga trajectòria política
caf_07803_00799545984	Els creuers a Eslovènia són molt barats
caf_05450_01499012235	El Machu Picchu és una meravella
caf_03655_00831824365	Passem l'agost a l'apartament de Torredembarra
caf_06311_02037907046	Aquests banquers porten sempre corbates d’Adolfo Domínguez
caf_08001_01609573672	Les inversions a Hidrogea han disminuït en els últims cinc anys
caf_07245_01234763487	El primer president afroamericà dels Estats Units és Barack Obama
caf_07245_01486313952	Sembla que Selena Gomez ja no surt amb Justin Bieber
caf_08001_01715299730	Encara guardo una samarreta que em vaig comprar el 1996
caf_09204_02143855806	Daniel Radcliffe ha tingut una carrera espectacular després de Harry Potter
caf_01591_00279756501	Per jugar a tennis m'agraden les vambes de la marca Diadora
caf_09901_01056086135	Explica'm la història del timbaler del Bruc
caf_09204_01867515211	Hugo Silva estiuejava a la Bretanya francesa
caf_07245_01342754951	Me'n faig creus que Keith Richards continuï estant viu
caf_08106_01689975360	Vam comprar el creuer pel Mediterrani amb els de Viatges Ribes
caf_09901_00305422964	El meu fill només menja farinetes Blevit
caf_02452_01171062143	La manera que actua Anna Grau és bona per a pel·lícules d'humor però tot i això em desagrada
caf_04247_00589567656	Em van regalar la trompeta el 2013
caf_01591_01778205108	Al Grup Electro Stocks tenen accions electrificades
caf_06008_01355059815	Sergi López ha tingut més èxit a França que a Catalunya
caf_02452_02061368051	Un cotxe de cinc mil euros és l'opció més barata del mercat
caf_03944_02053366388	El 2015 vaig fer la quimioteràpia
caf_08106_01917001251	Toló és una ciutat petita del sud de França que té un dels millors equips de Rugbi del món
caf_03655_02117234357	Les vambes que porten una essa molt grossa al costat són de la marca Sofia
caf_08106_01531325533	Sabies que Emili Castellanos va néixer a Tagamanent
caf_01591_00418129121	Sabeu escriure noranta-nou en números romans
caf_01591_00908350067	Francesc Fontanella és conegut com un dels escriptors més ambiciosos del barroc català
caf_09901_00162457603	Si es refereixen al club Polo Barcelona és que tenen un estil molt peculiar
caf_06942_01186762443	Sam Mendes és la nova estrella adolescent de la música americana
caf_01591_00036925120	LinkedIn va ser comprat per Microsoft fa uns quants mesos
caf_09598_00432175189	Kosovo és un nou Estat encara no reconegut per alguns països
caf_06311_00652038051	L'equip d'hoquei de Sant Pere de Riudebitlles és molt bo
caf_02452_00444927140	Per a mi Lluís Homar sempre sembla el dolent de la película
caf_06042_01434764404	El 2014 em van diagnosticar un càncer de mama
caf_03944_01842297195	A Embalatges Petit fan caixes de totes mides
caf_09204_00372513319	Jessica Alba era la dona invisible d’Els Quatre Fantàstics
caf_09598_00627059262	El Grup Baucells Alimentació es dedica a la producció de carn porcina
caf_06008_01902110505	On és el restaurant més proper
caf_06042_00973257386	El pernil dolç Monells m'agrada tallat ben finet
caf_03944_00418446794	Una curiositat de Newry ciutat de l'Ulster és que es troba al bell mig de dos comtats
caf_06311_00217908521	El reportatge de la revista La Moda la va inspirar a comprar-se roba
caf_03944_01744627910	La capital de l'Alt Penedès és Vilafranca del Penedès
caf_05147_01360233586	Les sabates de taló estaven molt de moda fa cinc anys
caf_05739_00404737702	Se sabia totes les cançons de David Bisbal
caf_02452_00205321900	Molta gent coincideix que Marvin Gaye va gravar el disc més sexy de la història
caf_06942_00401335756	Has sentit els nous rumors sobre Brad Pitt
caf_09204_01882789348	Bryan Adams va publicar el seu primer disc l'any 1980
caf_03944_00464379881	Marc és un nom antic i potent
caf_07803_01652296221	Em sembla que la Denise Maestre està cridada a tenir un gran futur
caf_03655_00185446593	Antoni Gaudí va néixer a Reus la capital del Baix Camp
caf_07245_00836647878	A molts fans els va saber greu que Pedro Pérez deixés Triana
caf_07803_00779715389	Casa Tarradellas és a Vic i a part de fer bons embotits promociona cursos de català per als treballadors
caf_06008_01831321459	No sé quin programa presenta Susana Griso ara mateix
caf_09901_00384312463	La capital del Estats Units és Washington DC
caf_05739_01526381850	L'agropecuària de Guissona és molt gran
caf_01591_00216360920	Santa Domenica és un poble del sud d'Itàlia a la regió del Salento
caf_06942_00559722506	De petita Mary-Kate Olsen i la seva germana bessona feien pel·lícules
caf_02452_01134858445	Robert Pattinson es va fer famós actuant a Crepuscle tot i que ja havia sortit abans a Harry Potter
caf_09901_01756621380	Jordi Alba és un excel·lent lateral esquerre
caf_03944_00760835292	Quan tenia quinze anys fent càmping a Llançà vaig ser conscient de les belleses nòrdiques
caf_06942_00026664734	Maria Rovira és una fresca
caf_05450_00822370643	Posa't crema Isdin que tens la cara com un mapa
caf_03655_01775734700	Anna Brions és admirable per dedicar-se amb èxit a temes tan diversos com la física i la llengua persa
caf_03655_01688121759	El 1976 Sarrià de Ter va ser annexionada a Girona
caf_07245_00252448400	Pere Guardiola és el marit d'Elsa Pataki
caf_08001_01061797362	Recordo especialment les meravelloses migdiades d'estiu a Seva
caf_06311_02001322139	Els hiverns a Noruega són molt freds
caf_04247_00762858705	El xeic tenia un palau a Amman
caf_09204_00571185948	He vist Antonio Banderas en una pel·lícula conduint a tota màquina cotxes trucats
caf_03655_00720063708	L'any que ve per cap d'any anirem a Times Square de Nova York
caf_09901_01604475777	Joel Joan ha fet alguns dels papers més emblemàtics de la televisió catalana
caf_02452_01743733711	Rafael Nadal és qui ha guanyat més títols del Roland Garros de la història
caf_06042_00821711643	Sant Quirze del Vallès és a prop de Sabadell
caf_08106_01935250706	Quan arribi a casa faré unes partidetes a la Sony Playstation
caf_05147_00846257794	Sant Pere de Torelló es troba per sobre dels sis-cents metres d'alçada
caf_03944_01907135875	La novena simfonia de Beethoven
caf_08001_00421483917	Només fa falta que truquis a Motors Automòbils i Vehicles Industrials
caf_04247_01086465913	L'Aleix no m'ha caigut mai bé
caf_09901_00879319606	Érem vint-i-vuit a classe i ningú sabia la resposta
caf_01591_01494191106	El personal d'Egipte Aerolínies amb prou feines parla anglès
caf_06311_00746880594	A Gurb hi ha una fàbrica de llet Pasqual
caf_07803_01757606063	Darwin és molt lluny de Barcelona
caf_04247_00317139453	En acabar anirem a la platja de Calafell
caf_09901_00324823095	Núria Picas és una atleta excepcional
caf_05739_00419275742	La Clàudia viu a Munic amb uns amics
caf_05450_00473290522	En Miquel colla cargols a Tres Automoció Espanya
caf_09598_00674169368	Okawa té una de les indústries de bolígrafs més importants del món
caf_08106_01324189236	La Mireia va estudiar publicitat i treballa a Media Planning Group
caf_08001_00469914557	Maria Aurèlia Capmany era una escriptora catalana que té un carrer a Girona
caf_05739_00341490489	Bisbal firma un nou disc de la mà de Virgin
caf_05739_00125044129	El meu xupa-xup preferit és el de cola
caf_05739_01630385424	Anna Forés pedagoga s'ha preocupat molt de temes com la resiliència l’assertivitat i l’eurodidàctica en l'àmbit de la pedagogia
caf_02452_00145096586	Joe Jonas és un músic dels Estats Units membre de la banda dels Jonas Brothers
caf_09204_00091907588	Es va presentar al concurs cantant una cançó de Sting
caf_06042_01458249225	Viladecavalls és un nom amb un significat entenedor
caf_09901_02013704913	Un amic meu estiueja a Calonge
caf_01591_02105163611	Anna Simon va començar a TV3
caf_03944_01711336352	No recordo el nom del poema de Bonaventura Carles Aribau
caf_01591_01171667826	Els pilots d’Iberia rarament fan vaga
caf_07245_00095604182	Usain Bolt és l'home més ràpid del món
caf_03944_01469192443	Diuen que Melbourne és una de les ciutats més boniques d'Austràlia
caf_03655_00723107433	Vés i compra una dotzena d'ous
caf_01591_00869974640	El bisbe de Solsona és jove
caf_05739_00922599076	La xarxa de transports de Barcelona és molt completa
caf_04247_00970678444	Redoxon Farma sembla un negoci farmacèutic
caf_03655_00605443279	José Luis Garci era un director de cinema espanyol molt famós
caf_01591_01885273331	És interessant el que escriu i diu Lluís Foix tot i que ho fa des de la poltrona dels benestants
caf_06942_00964796226	El príncep Guillem un dia serà rei d'Anglaterra
caf_03944_01402222266	A l'Esquirol no saben com volen dir-ne del poble i han fet un referèndum
caf_07245_01383559130	Quan jo era petit hi havia una banda de pop que es deia New Kids On The Block
caf_02452_01371461417	Mandy Moore no és una noia com cal
caf_07245_02127011043	Queen tant pot voler dir reina com ser un dels millors grups musicals de la història
caf_09901_01501754486	M'agrada llegir les columnes que escriu Gaspar Hernàndez
caf_06942_00429917795	Heidi Klum ha aparegut en capítols esporàdics de moltes sèries
caf_02452_00712704543	Vaig anar a Malta a fer un curs d'anglès amb Interlingua
caf_05147_01741301498	Blanca Cuesta és famoseta per estar casada amb un fill de la famosa Tita Cervera baronessa de Thyssen
caf_08001_02116600538	A Pequín tenen un problema greu amb la pol·lució
caf_06008_00137389499	Obre la pàgina web de l’Optimot
caf_06008_02084909221	No tinc ni idea de què va escriure Pere Coromines però sé que tenia un bigoti divertit
caf_03944_00677371356	Pep Guardiola estima molt el Barça però sempre acaba marxant
caf_02452_01579496644	Michelle Obama és la muller de l'actual president dels Estats Units d'Amèrica
caf_07803_00856302236	El circuit d'Indianàpolis és un dels més grans del món
caf_06942_00070841447	Sting ha guanyat molts premis Grammy
caf_09901_01079388286	Joan Amades va escriure el costumari català i molta gent el té a les seves llars
caf_09796_01808211195	Encara hi ha molts llocs per descobrir a Malàisia
